;Код;Направление подготовки (специальности);Вступительные испытания, мин. кол. баллов;Профильные вступительные испытания для поступающих на базе среднего профессиональ-ного или высшего образования, мин. кол. баллов;Форма обучения;Всего;Общий конкурс;Особая квота;Целевая квота;Специальная квота;По договорам об оказании платных образовательных услуг;Стоимость обучения
0;08.03.01;"Строительство. Профиль ""Промышленное и гражданское строительство"", Профиль ""Строительство автомобильных дорог"", Профиль ""Жилищно-коммунальное хозяйство и инженерное обеспечение промышленных предприятий""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;очно-заочная;50;0;0;0;0;50;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
1;38.03.03;"Управление персоналом. Профиль ""Управление персоналом""";Вступительные испытания, мин. кол. баллов: математика : 39 история (по выбору): 35 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 история России (по выбору): 35 теория государства и права (по выбору): 45 русский язык: 40;очно-заочная;20;0;0;0;0;20;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
2;38.03.04;"Государственное и муниципальное управление. Профиль ""Государственное и муниципальное управление""";Вступительные испытания, мин. кол. баллов: математика : 39 история (по выбору): 35 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 история России (по выбору): 35 теория государства и права (по выбору): 45 русский язык: 40;очно-заочная;15;0;0;0;0;15;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
3;40.03.01;"Юриспруденция. Профиль ""Юриспруденция""";Вступительные испытания, мин. кол. баллов: обществознание: 45 история (по выбору): 35 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: теория государства и права: 44 история России (по выбору): 35 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;очно-заочная;15;0;0;0;0;15;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
4;05.03.06;"Экология и природопользование. Профиль ""Экология""";Вступительные испытания, мин. кол. баллов: биология: 39 химия (по выбору): 39 математика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая биология: 39 общая химия (по выбору): 39 математика в профессиональной деятельности (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;21;10;2;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
5;06.03.01;"Биология. Профиль  ""Биоразнообразие""";Вступительные испытания, мин. кол. баллов: биология: 39 химия (по выбору): 39 математика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая биология: 39 общая химия (по выбору): 39 математика в профессиональной деятельности (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;34;22;3;1;3;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
6;35.03.04;"Агрономия. Профиль ""Биотехнологии в растениеводстве""";Вступительные испытания, мин. кол. баллов: биология: 39 химия (по выбору): 39 математика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая биология: 39 общая химия (по выбору): 39 математика в профессиональной деятельности (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;15;6;1;2;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
7;35.03.08;"Водные ресурсы и аквакультура. Профиль ""Аквакультура""";Вступительные испытания, мин. кол. баллов: биология: 39 химия (по выбору): 39 математика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая биология: 39 общая химия (по выбору): 39 математика в профессиональной деятельности (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;20;9;2;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
8;36.03.02;"Зоотехния. Профиль ""Разведение, селекция, воспроизводство и использование животных""";Вступительные испытания, мин. кол. баллов: биология: 39 химия (по выбору): 39 математика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая биология: 39 общая химия (по выбору): 39 математика в профессиональной деятельности (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;20;9;2;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
9;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Биология и Химия)""";Вступительные испытания, мин. кол. баллов: химия (по выбору): 39 математика (по выбору): 39 биология (по выбору): 39 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая химия (по выбору): 39 математика в профессиональной деятельности (по выбору): 39 общая биология (по выбору): 39 теория государства и права: 45 русский язык: 40;очная;15;5;1;3;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
